app_id,game_name,game_type,is_free_to_play,release_year,avg_initial_price,min_initial_price,max_initial_price,price_volatility,avg_final_price,min_final_price,max_final_price,avg_discount,max_discount,discount_frequency,total_discount_days,total_observation_days,price_trend,seasonal_discount_pattern,best_discount_month,worst_discount_month,max_savings,avg_savings_when_discounted,good_buy_time
107410,Arma 3,game,0.0,2013.0,30.43624746450305,29.99,39.99,2.066882475197642,26.30075050709939,8.99,39.99,13.784989858012171,70,0.2028397565922921,100,493,-0.3576320198160523,104.13620622084458,12,2,21.0,20.387999999999998,1
108200,Ticket to Ride,game,0.0,2012.0,9.989999999999998,9.99,9.99,1.778157505690667e-15,9.39080971659919,3.99,9.99,5.991902834008097,60,0.10121457489878542,50,494,0.0,66.28083120486866,12,2,6.0,5.92,0
108600,Project Zomboid,game,0.0,2013.0,14.990000000000004,14.99,14.99,3.556329673302723e-15,14.312256097560978,8.99,14.99,4.5182926829268295,40,0.11788617886178862,58,492,0.0,33.61495020337538,12,2,6.0,5.7491379310344835,0
108710,Alan Wake,game,0.0,2012.0,15.131987829614607,14.99,19.99,0.8313727162635991,13.968093306288033,1.49,14.99,7.0020283975659225,90,0.09127789046653144,45,493,0.01982096535944068,109.19154433550784,12,2,15.999999999999998,12.75111111111111,0
108800,Crysis 2 Maximum Edition,game,0.0,2011.0,29.990000000000006,29.99,29.99,7.112644654898516e-15,26.612718052738344,7.49,29.99,11.257606490872211,75,0.15010141987829614,74,493,0.0,224.69703353414653,6,2,22.5,22.5,1
110800,L.A. Noire,game,0.0,2011.0,19.99,19.99,19.99,0.0,17.722251521298173,6.99,19.99,11.338742393509127,65,0.1744421906693712,86,493,0.0,137.6760210919218,1,4,12.999999999999998,12.999999999999998,1
113020,Monaco,game,0.0,2013.0,15.020487804878051,14.99,19.99,0.3896384112233681,13.173536585365856,1.49,14.99,12.160569105691057,90,0.1565040650406504,77,492,0.0355706932801246,119.25216400498415,12,4,14.999999999999998,11.801298701298702,1
113200,The Binding of Isaac,game,0.0,2011.0,4.990000000000001,4.99,4.99,8.890824183256808e-16,4.990000000000001,4.99,4.99,0.0,0,0.0,0,492,0.0,0.0,1,1,0.0,0.0,0
11450,Overlord,game,0.0,2009.0,4.990000000000001,4.99,4.99,8.890787528453336e-16,4.405485829959515,1.24,4.99,11.690283400809717,75,0.15587044534412955,77,494,0.0,203.18540503894303,12,2,3.75,3.75,1
115320,PROTOTYPE 2,game,0.0,2012.0,39.989999999999995,39.99,39.99,7.112630022762669e-15,33.370566801619425,9.99,39.99,16.548582995951417,75,0.22064777327935223,109,494,0.0,111.69268452888473,12,2,30.0,30.0,1
1200,Red Orchestra: Ostfront 41-45,game,0.0,2006.0,4.990000000000001,4.99,4.99,8.890787528453336e-16,4.5851417004048605,2.49,4.99,8.097165991902834,50,0.16194331983805668,80,494,0.0,73.99386004925307,12,2,2.5,2.5,0
